2024-08-27T13:26:53.015-0500	ERROR	validate/access.go:32	creating project api: loading project: could not create project: failed to read project yaml 
Error: this version of PB works with schema version 72, got 71. please migrate the project to latest version

2024-08-27T13:27:16.916-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T13:27:16.927-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T13:27:16.957-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T13:27:23.544-0500	INFO	core/projectLoad.go:695	If this run gets interrupted, then in the future, you can resume via CLI commands(run, compile etc.) by passing '--seq_no 1'.

2024-08-27T13:27:23.892-0500	INFO	api/validate.go:44	Checking required schema access

2024-08-27T13:27:24.117-0500	INFO	api/validate.go:71	Accessing all models

2024-08-27T13:27:24.118-0500	INFO	api/validate.go:83	Checking required access for creating UDFs

2024-08-27T13:27:24.118-0500	INFO	api/validate.go:108	Checking required access to inputs for models

2024-08-27T13:27:26.303-0500	INFO	api/validate.go:120	All required access are available

2024-08-27T13:27:26.304-0500	INFO	api/validate.go:121	Connection environment: dev have all the required read/write privileges

2024-08-27T13:38:17.313-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T13:38:17.324-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T13:38:17.353-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T13:38:20.934-0500	INFO	core/projectLoad.go:695	If this run gets interrupted, then in the future, you can resume via CLI commands(run, compile etc.) by passing '--seq_no 2'.

2024-08-27T13:40:40.015-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T13:40:40.027-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T13:40:40.055-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T13:40:40.077-0500	INFO	api/show.go:100	Printing models

2024-08-27T13:42:51.255-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T13:42:51.265-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T13:42:51.295-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T13:42:54.761-0500	INFO	core/projectLoad.go:695	If this run gets interrupted, then in the future, you can resume via CLI commands(run, compile etc.) by passing '--seq_no 3'.

2024-08-27T13:43:25.881-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T13:43:25.892-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T13:43:25.921-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T13:43:25.941-0500	INFO	api/show.go:100	Printing models

2024-08-27T13:43:31.092-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T13:43:31.102-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T13:43:31.133-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

